seccion,titular,enlace_noticia
Literatura,"Gabriela Cabezón Cámara, escritora argentina: “Después de la pandemia, vamos a tener que batallar por una vida digna”",https://www.latercera.com/culto/2020/06/16/gabriela-cabezon-camara-escritora-argentina-despues-de-la-pandemia-vamos-a-tener-que-batallar-por-una-vida-digna/
Feminismo,"Afrofeminismos: Una trenza de raza, clase y género",https://www.latercera.com/paula/noticia/afrofeminismos-una-trenza-de-raza-clase-y-genero/34SUGGBAMVBR5A7B5S5FAX7QPM/
Oráculo Paula,"“Luchar contra los prejuicios nos dignifica”, doctora Eloísa Díaz",https://www.latercera.com/paula/noticia/luchar-contra-los-prejuicios-nos-dignifica-doctora-eloisa-diaz/5LKL5IL3MBFQHNLJGU7JEBN4HU/
Género,Por qué no debemos normalizar el machismo en los grupos de WhatsApp de hombres,https://www.latercera.com/paula/noticia/por-que-no-debemos-normalizar-el-machismo-en-los-grupos-de-whatsapp-de-hombres/V7OMDFHT2RBRFK47DLDVKKINHE/
Género,Erradicando a la machista: Mi marido me ayuda en la casa,https://www.latercera.com/paula/noticia/erradicando-a-la-machista-mi-marido-me-ayuda-en-la-casa/37VVQWLKZJFJZKHPOAUCSSJKYA/
Feminismo,La feminista autodidacta: Dos libros y una película para aprender más del movimiento,https://www.latercera.com/paula/noticia/la-feminista-autodidacta-dos-libros-y-una-pelicula-para-aprender-mas-del-movimiento/ZSMGUHPW6ZCW7OTX7RYOPKFZYU/
Feminismo,Basta de envidia entre mujeres,https://www.latercera.com/paula/noticia/basta-de-envidia-entre-mujeres/Z5EJUYBIYVAIRFY64JQACA7BWU/
Re:Constitución,Miriam Henríquez: “Los debates previos al proceso constituyente actual fueron modestos o mezquinos en atender las demandas de género”,https://www.latercera.com/reconstitucion/noticia/miriam-henriquez-los-debates-previos-al-proceso-constituyente-actual-fueron-modestos-o-mezquinos-en-atender-las-demandas-de-genero/KAYINVKG4NBLPBPBGORTCURTDY/
Género,Erradicando a la machista: Ellos saben más que nosotras,https://www.latercera.com/paula/noticia/ellos-saben-mas-que-nosotras/IEEQXRUIB5BQPICGDSCLORMN3Y/
Gobierno,"Ministra Santelices asegura que hay movimientos feministas “que buscan el caos, la destrucción y la descalificación” y que no tienen “nada que ver con las marchas que hemos visto en el país”",https://www.latercera.com/politica/noticia/ministra-santelices-asegura-que-hay-movimientos-feministas-que-buscan-el-caos-la-destruccion-y-la-descalificacion-y-que-no-tienen-nada-que-ver-con-las-marchas-que-hemos-visto-en-el-pais/B5QVWPVJ2BGBFED3QLXHHC47FM/
Feminismo,Labores domésticas en cuarentena: “Nunca había peleado tanto con mi marido como este mes”,https://www.latercera.com/paula/roles-de-genero-en-cuarentena-trabajo-domestico-corresponsabilidad-2/
Feminismo,"Las madres no están empoderadas, están sobrecargadas",https://www.latercera.com/paula/empoderamiento-femenino-maternidad-sobrecargadas-mujeres-presion-como-manejar-el-estres/
Feminismo,División sexual del trabajo: La importancia de los roles femeninos durante la pandemia,https://www.latercera.com/paula/coronavirus-division-sexual-del-trabajo-la-importancia-de-los-roles-femeninos-durante-la-pandemia-feminismo/
Coronavirus,Cómo afecta la crisis por coronavirus el avance del feminismo,https://www.latercera.com/paula/gana-o-pierde-le-feminismo-con-el-coronavirus-politicas-publicas-de-genero/
Feminismo,"Feminista autodidacta: Un Stand Up, una novela gráfica y una película islandesa para sumarte al movimiento",https://www.latercera.com/paula/feminismo-stand-up-estupidez-compleja-malena-pichot-netflix-no-abuses-de-este-libro-novela-grafica-nati-chuleta-pelicula-woman-at-war/
Feminismo,El discurso feminista que esconde Westworld,https://www.latercera.com/paula/discurso-feminista-serie-westworld-hbo/
Feminismo,"Poco Ortodoxa, lección de liberación",https://www.latercera.com/paula/esty-poco-ortodoxa-serie-netflix-judaismo-liberacion-femenina-los-satamar/
La Tercera PM,Isabel Allende y la epidemia en Estados Unidos: “Esto ha sido una lección brutal y supongo que estamos aprendiendo mucho”,https://www.latercera.com/la-tercera-pm/noticia/isabel-allende-esto-ha-sido-una-leccion-brutal-y-supongo-que-estamos-aprendiendo-mucho/NNR2WREXQNAWDOYS2TOF6O4UME/
cultura,"Feminista autodidacta: Un podcast, un documental y un taller para aprender más de feminismo",https://www.latercera.com/paula/documentales-libros-series-podcast-talleres-feministas-documental-period-end-of-sentence-documental-netflix-rita-segato-revista-anfibia-vaginas-ilustradas/
Feminismo,¿El feminismo mainstream es feminista?,https://www.latercera.com/paula/feminismo-mainstream-musica-beyonce-bad-bunny-feministas/
Feminismo,Consentimiento: No es no,https://www.latercera.com/paula/consentimiento-no-es-no-violacion-la-manada-leyes/
Paula,Feminismo y política: ¿es necesario un partido político?,https://www.latercera.com/paula/partido-feminista-politica-nueva-constitucion-paridad/
Paula,La carga doméstica que suele recaer en nosotras,https://www.latercera.com/paula/carga-domestica-mujeres-genero/
Paula,Mujer y trabajo: No somos capital erótico,https://www.latercera.com/paula/capital-erotico-trabajo/
Feminismo,¿Existe lo femenino?,https://www.latercera.com/paula/que-es-genero-femenino/
Paula,Brecha salarial y las profesiones que no estamos accediendo,https://www.latercera.com/paula/brecha-salarial-chile-carreras-mejor-pagadas/
Paula,Que deje de importar el cómo nos vemos,https://www.latercera.com/paula/mujeres-y-fisico/
Paula,Hablemos de menstruación,https://www.latercera.com/paula/hablemos-de-menstruacion/
Feminismo,Techo de cristal: las barreras que hay que romper,https://www.latercera.com/paula/techo-de-cristal-trabajo-mujeres/
#HistoriasLT,Matando el macho interior,https://www.latercera.com/la-tercera-tv/noticia/historialt-matando-el-macho-interior/UXD3KPSRHZHDNG2UBBS5HCILFU/
Feminismo,"Valeria Artigas, de Las Tesis Senior: ""Me encanta como las cabras jóvenes encaran a los tipos que les corren mano"".",https://www.latercera.com/paula/valeria-artigas-las-tesis-senior-me-encanta-las-cabras-jovenes-encaran-los-tipos-les-corren-mano/
Feminismo,La ola performática del feminismo: una nueva forma de protesta,https://www.latercera.com/paula/la-ola-performatica-del-feminismo-una-nueva-forma-protesta/
Música,"Supernova: “Las mujeres son las que tienen mérito acá, hemos tenido que abrirnos espacio a empujones”",https://www.latercera.com/culto/2020/09/04/supernova-las-mujeres-son-las-que-tienen-merito-aca-hemos-tenido-que-abrirnos-espacio-a-empujones/
Isabel Allende,Isabel Allende: “Las feministas chilenas han inspirado a las mujeres en el mundo”,https://www.latercera.com/la-tercera-domingo/noticia/isabel-allende-las-feministas-chilenas-han-inspirado-a-las-mujeres-en-el-mundo/GZ6JD6X6E5E6VNYOPERZBOWAOI/
Elena Caffarena,"Elena Caffarena, emancipada",https://www.latercera.com/culto/2020/03/07/elena-caffarena-emancipada/
Feminismo,"Lorena Fries: ""El feminismo es el origen del estallido social""",https://www.latercera.com/paula/feminismo-origen-del-estallido-social/
Sociedad,Feminismo y hombres: ¿Cuál es su rol?¿Pueden participar en las marchas de 8M?,https://www.latercera.com/que-pasa/noticia/feminismo-y-hombres-cual-es-su-rolpueden-participar-en-las-marchas-de-8m/GHLWPWNVDRBWPMOMQUH23N47PA/
Paula,El lenguaje nos invisibiliza,https://www.latercera.com/paula/lenguaje-nos-invisibiliza/
Mujeres,Informe del PNUD: Cerca del 90% de las personas tiene algún prejuicio contra las mujeres,https://www.latercera.com/mundo/noticia/informe-del-pnud-cerca-del-90-de-las-personas-tiene-algun-prejuicio-contra-las-mujeres/RTGDFDJYKNBQVOBPLTWMEGKVJY/
Feminismo,"Feminazi, el término maldito",https://www.latercera.com/paula/feminazi-termino-maldito/
Feminismo,Qué entendemos por sororidad,https://www.latercera.com/paula/que-entendemos-por-sororidad/
Aprender para no depender,Hablemos de feminismo,https://www.latercera.com/paula/hablemos-de-feminismo/
